,player_id,team_id,team_tx,pos_tx,elo,teamID,nameFirst,nameLast,score
97,darvy001,TEX,TEX,P,2596.4577262904936,TEX,Yu,Darvish,427.6
98,cottn001,TEX,TEX,P,1800.5586969159367,TEX,Neal,Cotts,171.4
99,burnc001,TEX,TEX,P,1551.4924534989798,TEX,Cory,Burns,19.6
100,blact001,TEX,TEX,P,1715.355172232121,HOU,Travis,Blackley,54.0
104,wrigw001,TBA,TBA,P,1728.87652529212,HOU,Wesley,Wright,64.6
108,wrigj001,TBA,TBA,P,1839.459852965106,TBA,Jamey,Wright,134.0
109,torra002,TBA,TBA,P,1793.3432012754063,TBA,Alex,Torres,137.1
110,romee002,TBA,TBA,P,1522.2795176766583,TBA,Enny,Romero,6.1
111,rodnf001,TBA,TBA,P,1868.6853377786392,TBA,Fernando,Rodney,260.0
112,ramoc001,TBA,TBA,P,1827.7495615046762,TBA,Cesar,Ramos,98.8
113,pricd001,TBA,TBA,P,2461.475432796427,TBA,David,Price,261.5
114,peraj002,TBA,TBA,P,1855.9263797792898,TBA,Joel,Peralta,128.6
115,odorj001,TBA,TBA,P,1629.0539057322846,TBA,Jake,Odorizzi,34.1
116,moorm003,TBA,TBA,P,2297.96619486394,TBA,Matt,Moore,278.65
117,mcgej001,TBA,TBA,P,1815.849566126315,TBA,Jake,McGee,140.7
118,luekj001,TBA,TBA,P,1581.8845863763113,TBA,Josh,Lueke,28.1
119,carmf001,TBA,TBA,P,2241.535501498152,TBA,Roberto,Hernandez,121.95
120,hellj001,TBA,TBA,P,2356.4263478625026,TBA,Jeremy,Hellickson,165.8
121,gomeb001,TBA,TBA,P,1582.5561441588543,TBA,Brandon,Gomes,45.2
122,fulds001,TBA,TBA,OF,1260.9680468281758,TBA,Sam,Fuld,0.9
123,farnk001,TBA,TBA,P,1657.5140431663028,TBA,Kyle,Farnsworth,43.1
127,coloa001,TBA,TBA,P,1559.7694772181467,TBA,Alex,Colome,24.7
128,cobba001,TBA,TBA,P,2303.419907384854,TBA,Alex,Cobb,260.75
129,belij001,TBA,TBA,P,1501.8987091417057,TBA,Jeff,Beliveau,1.3
130,archc001,TBA,TBA,P,2177.002995439144,TBA,Chris,Archer,184.4
131,westj001,SLN,SLN,P,1947.1691783195001,SLN,Jake,Westbrook,71.25
132,waina001,SLN,SLN,P,2835.172023028136,SLN,Adam,Wainwright,411.75
133,wachm001,SLN,SLN,P,1931.7996709538909,SLN,Michael,Wacha,122.1
134,siegk001,SLN,SLN,P,1719.54730446429,SLN,Kevin,Siegrist,124.1
135,salaf001,SLN,SLN,P,1614.5971577296905,SLN,Fernando,Salas,29.1
136,rzepm001,SLN,SLN,P,1619.5852147640385,CLE,Marc,Rzepczynski,53.9
140,roset001,SLN,SLN,P,1924.2262001035253,SLN,Trevor,Rosenthal,192.4
141,mujie001,SLN,SLN,P,1809.994768465473,SLN,Edward,Mujica,230.1
142,mills001,SLN,SLN,P,2291.962364143122,SLN,Shelby,Miller,299.25
143,martc006,SLN,SLN,P,1680.207726367295,SLN,Carlos,Martinez,43.5
144,martv002,SLN,SLN,P,1514.595499719118,SLN,Victor,Marte,-0.4
145,manes001,SLN,SLN,P,1776.5320608911356,SLN,Seth,Maness,125.4
146,lyont001,SLN,SLN,P,1701.56882085068,SLN,Tyler,Lyons,48.6
147,lynnl001,SLN,SLN,P,2497.961237066677,SLN,Lance,Lynn,298.5
148,kellj001,SLN,SLN,P,2111.742940947054,SLN,Joe,Kelly,192.3
149,johnr009,SLN,SLN,C,1460.5483562358843,SLN,Rob,Johnson,1.9
150,gastj001,SLN,SLN,P,1546.9879074267517,SLN,John,Gast,18.3
151,garcj004,SLN,SLN,P,1689.4040426039403,SLN,Jaime,Garcia,81.9
152,frees001,SLN,SLN,P,1552.5801522995696,SLN,Sam,Freeman,27.3
153,cletm001,SLN,SLN,P,1505.9423156542168,SLN,Maikel,Cleto,-1.7
154,choar001,SLN,SLN,P,1659.373915153752,SLN,Randy,Choate,88.4
155,butlk001,SLN,SLN,P,1582.9358661095669,SLN,Keith,Butler,30.0
156,boggm001,SLN,SLN,P,1585.84197327402,COL,Mitchell,Boggs,13.9
160,blazm001,SLN,SLN,P,1571.1179131904667,SLN,Michael,Blazek,11.9
164,axfoj001,SLN,SLN,P,1796.1321606385955,MIL,John,Axford,92.6
168,zitob001,SFN,SFN,P,2020.0352755960646,SFN,Barry,Zito,66.0
169,voger001,SFN,SFN,P,1909.7399198493003,SFN,Ryan,Vogelsong,60.9
170,surke001,SFN,SFN,P,1507.5359275630499,SFN,Eric,Surkamp,-14.3
171,rosas001,SFN,SFN,P,1690.860768624746,SFN,Sandy,Rosario,71.5
172,romos001,SFN,SFN,P,1787.1607156819277,SFN,Sergio,Romo,230.9
173,ramir003,SFN,SFN,P,1519.816972869427,SFN,Ramon,Ramirez,-4.2
174,petiy001,SFN,SFN,P,1676.978746932682,SFN,Yusmeiro,Petit,83.35
175,moscg001,SFN,SFN,P,1634.2294270113057,SFN,Guillermo,Moscoso,39.5
176,mijaj001,SFN,SFN,P,1704.3222607035634,SFN,Jose,Mijares,84.8
177,machj002,SFN,SFN,P,1737.6792802843802,SFN,Jean,Machi,120.1
178,lopej002,SFN,SFN,P,1683.7411446840877,SFN,Javier,Lopez,113.7
179,linct001,SFN,SFN,P,2361.0701210581624,SFN,Tim,Lincecum,236.95
180,kontg001,SFN,SFN,P,1722.4885968183628,SFN,George,Kontos,85.4
181,kickm001,SFN,SFN,P,1607.6399357206321,SFN,Mike,Kickham,-7.0
182,hembh001,SFN,SFN,P,1535.9670596146664,SFN,Heath,Hembree,25.7
183,gaudc001,SFN,SFN,P,1908.4438699496493,SFN,Chad,Gaudin,164.4
184,garcj002,SFN,SFN,P,1725.2092385141525,SFN,Santiago,Casilla,128.5
185,dunnj001,SFN,SFN,P,1601.2757182717157,SFN,Jake,Dunning,36.9
186,cainm001,SFN,SFN,P,2323.666983183877,SFN,Matt,Cain,222.2
187,bumgm001,SFN,SFN,P,2438.7124804502896,SFN,Madison,Bumgarner,348.1
188,affej001,SFN,SFN,P,1643.1321313443686,SFN,Jeremy,Affeldt,36.9
189,wilht001,SEA,SEA,P,1789.6929017202353,SEA,Tom,Wilhelmsen,151.3
190,walkt004,SEA,SEA,P,1571.435444199288,SEA,Taijuan,Walker,23.5
191,saunj001,SEA,SEA,P,2400.1061746508235,SEA,Joe,Saunders,110.1
192,ruffc001,SEA,SEA,P,1542.171740938743,SEA,Chance,Ruffin,5.1
193,ramie004,SEA,SEA,P,1855.7782600184244,SEA,Erasmo,Ramirez,78.8
194,pryos001,SEA,SEA,P,1528.316121176885,SEA,Stephen,Pryor,19.3
195,pereo002,SEA,SEA,P,1747.8564712929376,SEA,Oliver,Perez,130.1
196,paxtj001,SEA,SEA,P,1620.7980598982817,SEA,James,Paxton,55.8
197,noesh001,SEA,SEA,P,1620.041187483157,SEA,Hector,Noesi,15.8
198,mediy001,SEA,SEA,P,1839.5317564700047,SEA,Yoervis,Medina,135.1
199,maurb001,SEA,SEA,P,1918.846280418958,SEA,Brandon,Maurer,51.0
200,luetl001,SEA,SEA,P,1658.5130282794958,SEA,Lucas,Luetge,40.9
201,loe-k001,SEA,SEA,P,1564.101784548885,CHN,Kameron,Loe,7.5
210,lafrb001,SEA,SEA,P,1544.7971136258893,SEA,Bobby,LaFromboise,10.8
211,iwakh001,SEA,SEA,P,2670.682743621247,SEA,Hisashi,Iwakuma,367.1
212,hernf002,SEA,SEA,P,2536.6548381866246,SEA,Felix,Hernandez,346.7
213,haraa001,SEA,SEA,P,2224.4187528020084,SEA,Aaron,Harang,65.9
217,furbc001,SEA,SEA,P,1825.275539050724,SEA,Charlie,Furbush,123.5
218,farqd001,SEA,SEA,P,1760.5770059715692,SEA,Danny,Farquhar,151.8
219,cappc001,SEA,SEA,P,1770.2222670480282,SEA,Carter,Capps,91.3
220,bondj001,SEA,SEA,P,1715.7535489737766,DET,Jeremy,Bonderman,17.5
224,beavb001,SEA,SEA,P,1681.1425804599646,SEA,Blake,Beavan,18.6
225,volqe001,SDN,SDN,P,2264.351028425896,SDN,Edinson,Volquez,106.3
229,vincn001,SDN,SDN,P,1711.4360129496993,SDN,Nick,Vincent,120.1
230,thayd001,SDN,SDN,P,1787.419643240913,SDN,Dale,Thayer,123.5
231,thatj001,SDN,SDN,P,1652.889066908882,SDN,Joe,Thatcher,84.0
235,stule002,SDN,SDN,P,2422.6255797820386,SDN,Eric,Stults,206.4
236,streh001,SDN,SDN,P,1770.1715101717039,SDN,Huston,Street,196.0
237,staut001,SDN,SDN,P,1780.706309067078,SDN,Tim,Stauffer,119.1
238,smitb005,SDN,SDN,P,1628.7745014513694,SDN,Burch,Smith,34.6
239,rosst001,SDN,SDN,P,2025.1335082923001,SDN,Tyson,Ross,178.5
